text,label,type,sub_type,domain,is_valid
爱豆舞台表现力超强，拍戏时演技却生硬又尴尬。,0,转折,Normal,影视娱乐,True
电影特效做得很震撼，但故事线混乱根本看不懂。,0,转折,Normal,影视娱乐,True
披萨的芝士拉不动，店家怕我太胖贴心减料了,0,反讽,Negative_Ironic,美食餐饮,True
这剧的剧情太上头，我连饭都忘了吃，肚子饿咕咕叫都不管！,1,反讽,Positive_Ironic,影视娱乐,True
理发师审美在线，给我剪的刘海参差不齐像狗啃的！,0,反讽,Negative_Ironic,生活服务,True
新买的运动鞋磨脚严重，不得不说鞋型设计有缺陷,0,双重否定,Normal,购物消费,True
你推荐的糖水铺，没有一个去过的朋友不说口味绝佳,1,双重否定,Normal,日常社交,True
您家这红烧肉肥得能炼油，这份量可真“足”啊！,0,反讽,Negative_Ironic,美食餐饮,True
你们太能闹了，玩到凌晨四点，我现在脑子还嗡嗡的！,1,反讽,Positive_Ironic,日常社交,True
国际航班的舒适座椅不会不让长途旅客缓解旅途疲惫,1,双重否定,Normal,出行旅游,True
演员们的演技也太在线了，害得我沉浸式追剧忘了吃饭！,1,反讽,Positive_Ironic,影视娱乐,True
不愧是“贴心好友”，我生病时连条问候消息都没有,0,反讽,Negative_Ironic,日常社交,True
收到的快递外包装破损，不得不说运输环节有疏漏,0,双重否定,Normal,购物消费,True
酒店的床单有明显污渍，没有不降低住客住宿体验的。,0,双重否定,Normal,出行旅游,True
"这清炒时蔬真""清新""，炒完跟生啃菜叶子味儿没差。",0,反讽,Negative_Ironic,美食餐饮,True
收到的快递外包装破损，不得不说快递员没轻拿轻放,0,双重否定,Normal,购物消费,True
理发师剪坏刘海还甩锅，技术真“一流”！,0,反讽,Negative_Ironic,生活服务,True
家政阿姨收拾的客厅，不会不给人眼前一亮的感觉,1,双重否定,Normal,生活服务,True
这牛仔裤穿四年都没掉色，我看中的破洞款只能压箱底！,1,反讽,Positive_Ironic,购物消费,True
爱豆刚出道时演技青涩，现在拍戏却自然又有灵气。,1,转折,Normal,影视娱乐,True
服了，美甲做得这么好看，我现在连摘菜都怕刮花它！,1,反讽,Positive_Ironic,生活服务,True
我的快递在运输过程中被挤压得严重变形,0,简单句,Normal,生活服务,True
动车车厢本来很嘈杂，可乘务员很快协调出安静的区域,1,转折,Normal,出行旅游,True
家政阿姨上门晚十分钟，却把家里死角都打扫得干干净净,1,转折,Normal,生活服务,True
这家外卖的黄焖鸡米饭鸡肉柴得咬不动,0,简单句,Normal,美食餐饮,True
外卖派送速度挺快，可餐品凉透了根本没法入口,0,转折,Normal,生活服务,True
短视频刷到片段以为是烂片，正片看完发现细节满满超震撼。,1,转折,Normal,影视娱乐,True
这部剧主角演技在线，配角表演却尴尬到抠脚。,0,转折,Normal,影视娱乐,True
以为偏远溶洞景区设施差，没想到有免费讲解和代步车,1,转折,Normal,出行旅游,True
这款保温杯外观普通，但保温效果能持续24小时以上,1,转折,Normal,购物消费,True
真服了这个美甲，好看是好看，就是洗个菜都怕蹭掉钻！,1,反讽,Positive_Ironic,生活服务,True
古风短视频的服化道和场景布置很用心,1,简单句,Normal,影视娱乐,True
电影的结局烂尾到爆炸，真是神来之笔的收尾啊！,0,反讽,Negative_Ironic,影视娱乐,True
虽然等了好久，但宠物寄养后狗狗胖了一圈很开心,1,转折,Normal,生活服务,True
你可真“勤快”，宿舍的垃圾堆了三天连碰都不碰一下,0,反讽,Negative_Ironic,日常社交,True
学校门口的手抓饼脆香可口料超足,1,简单句,Normal,美食餐饮,True
选的经济型酒店空间小，却干净整洁还贴心准备了驱蚊液,1,转折,Normal,出行旅游,True
这冷门剧真坑人，看完我逢人就夸，朋友都嫌我啰嗦！,1,反讽,Positive_Ironic,影视娱乐,True
盖饭的肉少得可怜，老板真是慷慨大方到极致,0,反讽,Negative_Ironic,美食餐饮,True
这部冷门剧没人抢热搜，刚好让我独享宝藏太爽了！,1,反讽,Positive_Ironic,影视娱乐,True
真佩服你，能把迟到的理由编得天花乱坠没人信,0,反讽,Negative_Ironic,日常社交,True
朋友推荐的治愈综艺，我不能不刷完一集又一集,1,双重否定,Normal,日常社交,True
你可太贴心了，借我的伞用完直接丢自己柜子里,0,反讽,Negative_Ironic,日常社交,True
美容师推销半小时，这“热情”我可承受不起！,0,反讽,Negative_Ironic,生活服务,True
您的“专业维修”真给力，修完抽油烟机油烟全往屋里飘,0,反讽,Negative_Ironic,生活服务,True
恨死这家厨具店了，这不粘锅用四年都没掉涂层，想换都没辙！,1,反讽,Positive_Ironic,购物消费,True
这家精品酒店真精致，厕所的冲水按钮按三次才勉强出水。,0,反讽,Negative_Ironic,出行旅游,True
您家的包子真“小巧玲珑”，我四个下去还吃馒头,0,反讽,Negative_Ironic,美食餐饮,True
短视频预告看似普通，正片内容却反转不断超精彩。,1,转折,Normal,影视娱乐,True
快递丢件不处理，不得不说这个物流平台太不靠谱,0,双重否定,Normal,生活服务,True
演员的共情力也太强了，害得我连饭都忘了吃！,1,反讽,Positive_Ironic,影视娱乐,True
外卖的芋泥奶冻卷没有谁不说它甜而不腻的,1,双重否定,Normal,美食餐饮,True
酒店的早餐品种稀少，没有不令住客感到失望不满的。,0,双重否定,Normal,出行旅游,True
出发前担心黄山人太多，却在小众观景点拍到绝美的日落,1,转折,Normal,出行旅游,True
这演员的共情力太强，害得我跟着角色哭了一整晚！,1,反讽,Positive_Ironic,影视娱乐,True
真讨厌，聚会这么有意思，我完全忘了还有报告没写！,1,反讽,Positive_Ironic,日常社交,True
商场导购态度超热情，可推荐的衣服全不合身。,0,转折,Normal,购物消费,True
不愧是资深维修师傅，修热水器把软管都给弄漏水了,0,反讽,Negative_Ironic,生活服务,True
真讨厌，你们每次聚会都安排这么好，我想拒绝都难！,1,反讽,Positive_Ironic,日常社交,True
维修师傅修完空调后还是时不时会跳闸,0,简单句,Normal,生活服务,True
蟹黄汤包的汤汁不得不说没有一滴不是鲜香浓郁的,1,双重否定,Normal,美食餐饮,True
"您家的石锅拌饭真""清爽""，除了米饭和辣酱半点儿配菜都没有。",0,反讽,Negative_Ironic,美食餐饮,True
烤肉店的生菜没有一片不是蔫巴巴带黄叶的,0,双重否定,Normal,美食餐饮,True
这部恐怖片全靠音效吓人一点不恐怖。,0,简单句,Normal,影视娱乐,True
这客服回复的话术真统一，问啥都得不到有用信息,0,反讽,Negative_Ironic,生活服务,True
黄山缆车站排队时间太长浪费半天,0,简单句,Normal,出行旅游,True
和爱攀比的亲戚聊天，没有一句话不让人倍感压力,0,双重否定,Normal,日常社交,True
咱们导游太懂行，推荐的特产比外面贵三倍还多。,0,反讽,Negative_Ironic,出行旅游,True
不愧是段子手，讲的冷笑话能让全场尴尬到结冰,0,反讽,Negative_Ironic,日常社交,True
高铁的座椅真舒服，坐久了我的腰都快直不起来了,0,反讽,Negative_Ironic,出行旅游,True
快递小哥送货超快，可打开快递盒发现商品碎了。,0,转折,Normal,购物消费,True
尽管赶路没吃午饭肚子饿，看到天池那抹蓝时啥都不重要,1,转折,Normal,出行旅游,True
这家乡村酒店太接地气，晚上老鼠在天花板开运动会。,0,反讽,Negative_Ironic,出行旅游,True
快递包装真精美，拆开时盒子碎得连渣都不剩,0,反讽,Negative_Ironic,购物消费,True
编剧能不能别这么懂我，写的剧情戳得我眼泪直流还想看！,1,反讽,Positive_Ironic,影视娱乐,True
连续三天赶早赶路，我不得不说身体都快被折腾散架了。,0,双重否定,Normal,出行旅游,True
入住的山景酒店推窗可见连绵青山,1,简单句,Normal,出行旅游,True
订的酒店空调坏了没人修，不能不觉得住得闹心,0,双重否定,Normal,出行旅游,True
动车充电口太实用，找了八个座位只有一个能用～,0,反讽,Negative_Ironic,出行旅游,True
这部剧简直害死人，我三天没出门，全窝在沙发刷它！,1,反讽,Positive_Ironic,影视娱乐,True
爱豆的演技尬到脚趾抠地，真的是天赋型演员啊！,0,反讽,Negative_Ironic,影视娱乐,True
这款包包款式很新潮，不过背了三天肩带就开线了。,0,转折,Normal,购物消费,True
这维修小哥真有本事，修完微波炉门都关不严实了,0,反讽,Negative_Ironic,生活服务,True
本想和发小去吃新开的日料，结果到店发现人家临时闭店整改。,0,转折,Normal,日常社交,True
这家超市的临期食品，没有一样不是标价虚高的,0,双重否定,Normal,购物消费,True
快递真安全，包裹拆封过，里面的东西少了一件！,0,反讽,Negative_Ironic,生活服务,True
线下买的耳机续航短，不能不说宣传和实际不符,0,双重否定,Normal,购物消费,True
流量明星的新剧演技尴尬，全程都是面瘫脸,0,简单句,Normal,影视娱乐,True
你们太能折腾，昨天聚会嗨到我现在嗓子还发哑呢！,1,反讽,Positive_Ironic,日常社交,True
虽然修鞋收费比路边高，但补得牢固还跟新的一样,1,转折,Normal,生活服务,True
这个鼠标能不能别这么耐用？用四年都没坏，没法买无线充电新的了！,1,反讽,Positive_Ironic,购物消费,True
景区强制消费不能不让每个游客感到气愤难平,0,双重否定,Normal,出行旅游,True
家政擦的桌子摸一手灰，干活可真“仔细”！,0,反讽,Negative_Ironic,生活服务,True
这家卤味外卖的口味不能不让我回购N次,1,双重否定,Normal,生活服务,True
这游轮游真浪漫，挤得我连站的地方都没有,0,反讽,Negative_Ironic,出行旅游,True
这部剧的注水时长快赶上主线，真是诚意满满啊！,0,反讽,Negative_Ironic,影视娱乐,True
这部剧的婆媳戏尬到抠脚，真的是生活写实大作啊！,0,反讽,Negative_Ironic,影视娱乐,True
商场试穿的鞋一出门就开胶，质量太靠谱了！,0,反讽,Negative_Ironic,购物消费,True
网购的玩具边角锋利，没发现有做过安全防护处理,0,双重否定,Normal,购物消费,True
这家兰州拉面，吃过的人没有不夸面条筋道爽滑的,1,双重否定,Normal,美食餐饮,True
菜单菜品描述很诱人，实际味道却平淡得像白水煮菜。,0,转折,Normal,美食餐饮,True
古镇的夜景灯光秀，没有不吸引众多游客驻足观赏的。,1,双重否定,Normal,出行旅游,True
同事背后嚼舌根传闲话，没人不觉得这种人很讨厌,0,双重否定,Normal,日常社交,True
这女主演得也太真实了，我代入感超强，哭得稀里哗啦！,1,反讽,Positive_Ironic,影视娱乐,True
真佩服你们客服，问半天永远是那几句标准敷衍话,0,反讽,Negative_Ironic,生活服务,True
外卖配送速度特别快，可惜汤品撒了大半只剩空壳容器。,0,转折,Normal,美食餐饮,True
航班取消的突发状况不能不让出行的旅客措手不及,0,双重否定,Normal,出行旅游,True
这部电影前期宣传低调，上映后口碑爆了直接成年度黑马。,1,转折,Normal,影视娱乐,True
经典老片的修复版不得不说是影迷们的心头好,1,双重否定,Normal,影视娱乐,True
这家小龙虾辣得我跳脚，下次还得点十份！,1,反讽,Positive_Ironic,美食餐饮,True
这速度真头疼，我刚把沙发摊开就听到敲门声了！,1,反讽,Positive_Ironic,生活服务,True
朋友圈发了开心的动态，却没几个熟悉的人点赞,0,转折,Normal,日常社交,True
你给我的穿搭建议，没有一次不让我出门回头率飙升,1,双重否定,Normal,日常社交,True
谍战剧开篇节奏紧凑，后面却注水拖沓凑时长。,0,转折,Normal,影视娱乐,True
海鲜店的蛤蜊不得不说没有一个不是沙没吐干净的,0,双重否定,Normal,美食餐饮,True
同事在背后说我坏话，被我无意中听到了,0,简单句,Normal,日常社交,True
家政报价很实惠，可擦的窗户还留着明显的污渍,0,转折,Normal,生活服务,True
虽说背包太沉压得肩膀疼，看到高原经幡时瞬间觉得轻松,1,转折,Normal,出行旅游,True
尽管动车座位窄得难受，窗外的大片油菜花田却美如画境,1,转折,Normal,出行旅游,True
这位耍大牌的演员不得不让剧组工作人员不满,0,双重否定,Normal,影视娱乐,True
商场的试衣间狭小昏暗体验感极差,0,简单句,Normal,购物消费,True
"这汤的味道真""纯粹""，除了盐味儿半点儿食材香都没尝着。",0,反讽,Negative_Ironic,美食餐饮,True
快递只派不送上门，这“上门服务”真到位！,0,反讽,Negative_Ironic,生活服务,True
这份外卖的热乎劲儿十足，没有不让人暖心的道理,1,双重否定,Normal,生活服务,True
超市买的牛奶没到保质期就变质了,0,简单句,Normal,购物消费,True
这个综艺剪辑混乱，嘉宾镜头分配极不均匀,0,简单句,Normal,影视娱乐,True
西餐厅的牛排煎得过老全是黑焦味,0,简单句,Normal,美食餐饮,True
恨死你了，私教这么负责，我现在都养成晨跑的习惯了！,1,反讽,Positive_Ironic,生活服务,True
这家羽绒服真黑心，穿三年都不钻绒，想换轻薄款都没理由！,1,反讽,Positive_Ironic,购物消费,True
您这维修手法真独特，修完燃气灶点火键直接失灵了,0,反讽,Negative_Ironic,生活服务,True
尽管排队排到脚都麻了，见到千年佛像的瞬间全值了,1,转折,Normal,出行旅游,True
虽说是徒步累到直喘气，山顶的云海却美出了新高度,1,转折,Normal,出行旅游,True
同事总在背后嚼舌根，没有一件事不让人觉得厌烦,0,双重否定,Normal,日常社交,True
朋友圈总发炫富内容，没有一条动态不让人觉得反感,0,双重否定,Normal,日常社交,True
这个炒锅太坑了，用五年都不粘，换不粘锅的理由都找不到！,1,反讽,Positive_Ironic,购物消费,True
您的维修水平可太高超了，修个风扇外壳直接裂成两半,0,反讽,Negative_Ironic,生活服务,True
之前还发愁没人一起去露营，结果同事群里有人发起了组队。,1,转折,Normal,日常社交,True
这个雨伞质量好到过分，淋几十次雨都没坏，想换透明伞都没借口！,1,反讽,Positive_Ironic,购物消费,True
维修师傅上门居然没带齐必备的维修工具,0,简单句,Normal,生活服务,True
这位老戏骨的台词功底不得不让年轻演员们学习,1,双重否定,Normal,影视娱乐,True
商场逛一上午没合适的，最后淘到性价比超高的衬衫,1,转折,Normal,购物消费,True
餐厅的菜单设计很简洁，每道菜的口味都拿捏得恰到好处。,1,转折,Normal,美食餐饮,True
虽然价格偏高，但开锁师傅还免费帮我换了锁芯,1,转折,Normal,生活服务,True
真羡慕你，房间乱得像猪窝还觉得住得特别舒服,0,反讽,Negative_Ironic,日常社交,True
景区的厕所真干净，进去我差点被难闻的味道熏吐,0,反讽,Negative_Ironic,出行旅游,True
那维修小哥手真巧，修完油烟机连开关都按不动了,0,反讽,Negative_Ironic,生活服务,True
景区内的厕所肮脏不堪根本没法使用,0,简单句,Normal,出行旅游,True
这酒店的原生态风太地道，水龙头一拧就滴答漏水,0,反讽,Negative_Ironic,出行旅游,True
这师傅的维修功底深厚，修完电风扇转得比蜗牛还慢,0,反讽,Negative_Ironic,生活服务,True
羊汤馆的白汤没有一个常客不称赞熬得醇厚浓香的,1,双重否定,Normal,美食餐饮,True
超市的蔬菜不新鲜叶子都发黄枯萎了,0,简单句,Normal,购物消费,True
景区的高价宰客现象，不能不让人对旅游体验大打折扣。,0,双重否定,Normal,出行旅游,True
这部悬疑片反转太精彩，我刚开头就猜到了所有结局,0,反讽,Negative_Ironic,影视娱乐,True
朋友圈发的小猫照片，收获了好多好友点赞,1,简单句,Normal,日常社交,True
能不能手下留情？私教逼我练这么狠，我上下楼都费劲！,1,反讽,Positive_Ironic,生活服务,True
海边民宿周边施工噪音大得离谱,0,简单句,Normal,出行旅游,True
民宿老板每天都会准备暖心的手工早餐,1,简单句,Normal,出行旅游,True
你这人心机太重，送这么好的东西，让我欠你好大个人情！,1,反讽,Positive_Ironic,日常社交,True
某选秀综艺导师太公平，只给自家公司选手疯狂爆灯,0,反讽,Negative_Ironic,影视娱乐,True
动车静音车厢太安静，邻座小孩全程哭嚎没人管呢～,0,反讽,Negative_Ironic,出行旅游,True
以为没人懂我小众的爱好，结果新朋友刚好跟我喜欢同个乐队。,1,转折,Normal,日常社交,True
这客服回复效率真高，全是复制粘贴的机器人台词,0,反讽,Negative_Ironic,生活服务,True
虽说坐缆车吓得手心冒汗，俯瞰的红叶山谷却美到炸,1,转折,Normal,出行旅游,True
真无奈，家里太大了，朋友来玩都要打电话问在哪层！,1,反讽,Positive_Ironic,日常社交,True
这款陶瓷餐具颜值超高，不能不成为餐桌点睛之笔,1,双重否定,Normal,购物消费,True
虽然流程有点繁，但管道疏通后再也没堵过,1,转折,Normal,生活服务,True
快递小哥送货上门超及时，但商品包装已破损变形,0,转折,Normal,购物消费,True
"刚买的这份手抓饼真""迷你""，饼比手掌小，吃完还饿。",0,反讽,Negative_Ironic,美食餐饮,True
裤子腰围看起来有点大，系上赠的腰带后刚好合身,1,转折,Normal,购物消费,True
你可太会安慰人了，人家难过你还说风凉话,0,反讽,Negative_Ironic,日常社交,True
订了声称带落地窗的酒店，可窗户小得连街景都看不全,0,转折,Normal,出行旅游,True
这部剧开篇悬念拉满，越往后越注水逻辑完全崩盘。,0,转折,Normal,影视娱乐,True
爱豆的粉丝控评控到离谱，真的是文明饭圈代表啊！,0,反讽,Negative_Ironic,影视娱乐,True
哪怕拖重行李箱爬楼梯，推开窗看到雪山时瞬间心旷神怡,1,转折,Normal,出行旅游,True
你们客服团队可太负责了，一直说正在处理就是没动静,0,反讽,Negative_Ironic,生活服务,True
朋友总拿我短处开玩笑，没人不觉得这很不尊重人,0,双重否定,Normal,日常社交,True
川菜馆的宫保鸡丁没有一个食客不吐槽没辣味的,0,双重否定,Normal,美食餐饮,True
准备了小惊喜给朋友，结果他提前猜到没了惊喜感,0,转折,Normal,日常社交,True
新生代爱豆的舞台表现力不能不令人刮目相看,1,双重否定,Normal,影视娱乐,True
闺蜜忘了我的生日，我不能不感到一丝难过和失落,0,双重否定,Normal,日常社交,True
虽然价格小贵，但宠物美容后狗狗毛顺得像绸缎,1,转折,Normal,生活服务,True
你家行李箱真坑人，摔无数次都没裂，换颜值款都找不到由头！,1,反讽,Positive_Ironic,购物消费,True
景区的公共厕所脏乱，不会不让人觉得环境管理不到位。,0,双重否定,Normal,出行旅游,True
老板你真过分，做的手套那么结实，我穿三年都没破洞，没法换新的了！,1,反讽,Positive_Ironic,购物消费,True
商场珠宝店款式新颖，不会不让人忍不住驻足观赏,1,双重否定,Normal,购物消费,True
朋友送的手工相册，我不得不说真的戳中我的心巴了,1,双重否定,Normal,日常社交,True
汉堡里的生菜烂了，新鲜程度真是无可挑剔！,0,反讽,Negative_Ironic,美食餐饮,True
"这份沙拉真""够意思""，叶子比指头宽不了多少，塞牙缝都不够。",0,反讽,Negative_Ironic,美食餐饮,True
真服了编剧，写这么虐还这么上头，我根本停不下来！,1,反讽,Positive_Ironic,影视娱乐,True
面馆的红烧牛肉面没有哪个食客不夸分量够足的,1,双重否定,Normal,美食餐饮,True
这份意面的量真“精致”，我吃完还能再吃一份,0,反讽,Negative_Ironic,美食餐饮,True
电影演员阵容都是实力派，可惜剧本逻辑混乱浪费好演技。,0,转折,Normal,影视娱乐,True
这档综艺的无聊游戏不会不让人觉得浪费时间,0,双重否定,Normal,影视娱乐,True
短视频刷到片段以为是甜宠天花板，正片全是工业糖精。,0,转折,Normal,影视娱乐,True
甜品的造型创意十足，就是味道苦涩完全不符合预期。,0,转折,Normal,美食餐饮,True
外卖汤品撒得满袋都是，车座被弄脏了,0,简单句,Normal,生活服务,True
朋友借了钱一直不还，我不能不提醒自己别再心软,0,双重否定,Normal,日常社交,True
这部翻拍剧的魔改剧情不能不让老观众感到失望透顶,0,双重否定,Normal,影视娱乐,True
真服了骑手师傅，比我闹钟还准时，手里的零食都没放下！,1,反讽,Positive_Ironic,生活服务,True
你可太懒了，连我不想洗的脏碗都悄悄洗完了,1,反讽,Positive_Ironic,日常社交,True
超市的冷藏食品，没有一样不是快要过期的,0,双重否定,Normal,购物消费,True
线下买的充电宝用三次就坏，没理由不让人觉得踩雷,0,双重否定,Normal,购物消费,True
你这“守时观念”，约好九点见面十点才慢悠悠出门,0,反讽,Negative_Ironic,日常社交,True
染发前怕染不均匀，染完后发色均匀又显肤白,1,转折,Normal,生活服务,True
这档育儿综艺的暖心瞬间不能不让为人父母的共情,1,双重否定,Normal,影视娱乐,True
大巴晚点三小时还没说法，没法不让人火气直冒,0,双重否定,Normal,出行旅游,True
这款平价面膜刺痛皮肤，不会不给人带来不适,0,双重否定,Normal,购物消费,True
线下超市的新鲜果蔬性价比超划算,1,简单句,Normal,购物消费,True
提前做了攻略去丽江古城，却被路边的黄牛缠得不胜其烦,0,转折,Normal,出行旅游,True
这景区的讲解真专业，说的全是网上能查到的内容,0,反讽,Negative_Ironic,出行旅游,True
快递发货速度远超预期，可商品的配件缺了好几个,0,转折,Normal,购物消费,True
洗衣机故障挺严重，师傅两下就修好还教了保养技巧,1,转折,Normal,生活服务,True
